GeoType,,GeoName,TotalPop,happening,happeningOppose,human,humanOppose,consensus,consensusOppose,affectweather,affectweatherOppose,worried,worriedOppose,harmplants,harmplantsOppose,futuregen,futuregenOppose,devharm,devharmOppose,harmUS,harmUSOppose,personal,personalOppose,timing,timingOppose,exp,expOppose,fundrenewables,fundrenewablesOppose,regulate,regulateOppose,CO2limits,CO2limitsOppose,reducetax,reducetaxOppose,supportRPS,supportRPSOppose,rebates,rebatesOppose,drillANWR,drillANWROppose,drilloffshore,drilloffshoreOppose,teachGW,teachGWOppose,corporations,corporationsOppose,president,presidentOppose,congress,congressOppose,governor,governorOppose,localofficials,localofficialsOppose,citizens,citizensOppose,discuss,discussOppose,mediaweekly,mediaweeklyOppose,priority,priorityOppose
State,30,New Hampshire,1088160,71.425,15.716,57.294,30.197,59.056,23.86,65.805,7.668,64.179,35.807,71.967,20.368,72.424,20.278,67.495,22.774,63.373,29.587,42.892,50.061,56.877,43.123,44.252,55.349,79.034,19.886,73.483,24.797,67.567,32.204,65.953,33.226,67.328,31.774,78.548,20.089,31.001,68.484,48.95,49.962,76.562,23.175,70.948,11.288,52.163,25.628,61.639,21.18,55.954,16.286,56.332,16.556,65.104,11.512,36.702,63.318,36.196,63.354,52.393,24.442
State,31,New Jersey,6916980,76.833,11.077,62.826,26.936,64.579,20.591,71.814,5.62,71.812,28.166,77.996,14.372,77.062,14.37,75.168,16.173,70.567,22.341,50.455,41.934,62.854,37.146,48.947,50.927,79.628,18.422,77.819,20.156,73.767,25.842,73.009,25.8,68.734,29.646,80.817,16.852,26.652,72.3,44.243,55.011,82.256,17.492,76.203,9.116,59.327,21.352,68.86,17.481,62.201,15.323,62.947,14.525,70.421,9.478,36.961,63.052,31.803,67.319,60.515,16.932
State,32,New Mexico,1603978,71.614,14.62,57.75,28.739,58.681,23.594,64.874,7.287,67.03,33.044,71.326,20.009,70.998,19.238,69.548,20.329,65.661,25.988,49.99,42.616,60.45,39.55,46.973,53.261,75.627,23.039,70.481,27.881,64.813,34.918,63.296,34.584,63.158,36.547,77.473,21.002,31.367,68.567,47.539,51.317,76.514,23.765,69.562,11.985,51.675,27.828,60.56,24.256,55.022,20.826,58.789,18.064,65.445,12.889,38.521,61.683,34.106,65.044,57.829,24.768
State,33,New York,15463820,78.508,10.341,61.922,27.259,64.604,19.683,73.599,5.145,73.351,26.53,78.418,13.575,76.818,13.926,73.888,15.997,70.921,21.449,52.558,40.512,65.7,34.3,51.091,48.936,81.595,16.529,78.186,19.237,73.138,25.854,73.401,25.424,68.729,29.922,81.57,16.623,24.38,73.853,47.198,51.72,83.663,16.005,75.177,9.126,59.31,20.102,67.884,15.986,62.525,15.003,64.255,13.989,70.408,9.059,39.915,59.816,35.205,63.861,62.598,17.723
State,34,North Carolina,7968260,71.359,14.273,55.394,31.213,55.772,23.863,62.618,7.28,64.03,35.951,69.899,19.109,68.267,19.538,66.261,21.029,63.04,26.766,45.791,44.683,58.661,41.339,44.886,54.68,77.267,20.824,71.511,26.167,66.406,33.027,66.272,32.088,63.755,35.194,77.12,21.084,32.691,66.488,52.88,46.534,78.189,21.521,68.994,12.005,52.958,27.697,60.76,22.545,57.672,18.11,59.441,15.853,64.329,12.996,34.11,65.876,30.254,68.968,54.761,23.307
State,35,North Dakota,580975,59.541,25.833,43.759,40.768,45.641,32.111,52.106,10.706,52.004,47.882,60.649,32.466,60.7,31.392,54.23,32.83,51.758,39.823,33.908,58.349,44.988,55.013,31.602,67.657,72.467,26.861,63.158,35.127,48.602,50.871,53.346,46.229,54.011,45.166,74.548,24.482,38.294,61.266,63.66,36.586,66.963,33.763,61.075,12.189,36.952,38.143,44.953,31.324,43.173,21.084,46.636,20.366,55.307,13.848,29.504,70.409,28.903,70.809,39.213,35.425
State,36,Ohio,9050387,68.098,17.46,52.851,33.536,55.069,26.192,61.462,8.391,59.755,40.359,68.13,22.827,67.746,22.529,64.378,24.232,60.33,30.692,41.786,49.522,54.768,45.232,41.048,58.842,76.435,22.106,70.898,27.024,60.649,38.788,63.13,36.164,62.961,36.213,76.4,22.328,34.472,65.214,56.233,43.287,74.646,25.213,68.79,11.171,49.18,28.739,59.415,22.976,56.318,16.364,56.499,16.647,62.755,12.47,31.732,68.205,30.102,69.12,49.96,27.766
State,37,Oklahoma,2975904,64.441,21.356,49.296,36.658,46.867,29.678,53.531,9.915,56.918,43.182,63.035,27.416,62.154,27.624,59.932,28.046,57.159,33.806,39.976,50.78,51.43,48.57,38.091,61.106,70.854,28.088,65.665,32.754,56.953,42.831,57.682,40.582,56.945,41.877,73.094,24.234,38.317,59.841,58.024,41.194,71.039,28.891,63.628,12.769,44.097,36.942,53.888,30.047,51.479,18.655,53.874,19.286,58.807,14.438,29.688,70.214,28.195,70.985,45.458,30.962
State,38,Oregon,3261859,74.081,15.275,57.178,29.929,62.542,23.939,67.206,7.52,65.825,34.285,74.205,21.07,73.145,20.125,72.665,21.646,66.034,28.548,47.114,46.905,62.155,37.845,48.927,51.118,77.578,20.975,72.159,26.398,66.466,33.402,63.633,34.866,64.665,34.325,77.734,20.827,26.122,73.247,38.643,59.944,77.37,22.458,70.909,11.911,53.098,28.173,62.871,24.035,52.843,21.747,58.689,18.901,66.607,12.727,41.364,58.556,41.823,57.282,56.154,24.848
State,39,Pennsylvania,10129140,70.161,15.371,55.94,31.372,57.58,24.502,63.875,7.237,63.957,36.035,70.792,20.05,70.159,20.293,67.292,22.145,63.382,28.41,43.855,47.854,57.205,42.795,42.574,57.439,75.931,22.715,72.901,24.856,64.947,34.543,66.425,32.481,63.416,35.818,78.026,20.136,29.769,69.211,51.919,46.823,76.789,23.191,70.332,10.378,51.473,26.489,60.227,22.267,56.171,18.185,57.957,16.932,64.551,11.643,32.994,66.981,30.389,68.89,52.723,24.728
